s_nominal,e_nominal,s_true,e_true,ls_count
-62135596800,78796799,-62135596800,78796799,0
78796800,94694399,78796801,94694400,1
94694400,126230399,94694402,126230401,2
126230400,157766399,126230403,157766402,3
157766400,189302399,157766404,189302403,4
189302400,220924799,189302405,220924804,5
220924800,252460799,220924806,252460805,6
252460800,283996799,252460807,283996806,7
283996800,315532799,283996808,315532807,8
315532800,362793599,315532809,362793608,9
362793600,394329599,362793610,394329609,10
394329600,425865599,394329611,425865610,11
425865600,489023999,425865612,489024011,12
489024000,567993599,489024013,567993612,13
567993600,631151999,567993614,631152013,14
631152000,662687999,631152015,662688014,15
662688000,709948799,662688016,709948815,16
709948800,741484799,709948817,741484816,17
741484800,773020799,741484818,773020817,18
773020800,820454399,773020819,820454418,19
820454400,867715199,820454420,867715219,20
867715200,915148799,867715221,915148820,21
915148800,1136073599,915148822,1136073621,22
1136073600,1230767999,1136073623,1230768022,23
1230768000,1341100799,1230768024,1341100823,24
1341100800,1435708799,1341100825,1435708824,25
1435708800,1483228799,1435708826,1483228825,26
1483228800,32503680000,1483228827,32503680027,27
